entry_time,exit_time,strike,option_type,entry_price,exit_price,pnl
2023-01-30 15:18:00+05:30,2023-01-30 15:19:00+05:30,17650.0,CE,502.55,502.55,0.0
2023-01-30 15:27:00+05:30,2023-01-30 15:28:00+05:30,17650.0,CE,502.55,502.55,0.0
2023-01-30 15:29:00+05:30,2023-01-30 15:30:00+05:30,17650.0,CE,502.55,502.55,0.0
2023-01-31 10:59:00+05:30,2023-01-31 11:11:00+05:30,17600.0,CE,445.2,632.4,18720.0
2023-02-01 09:55:00+05:30,2023-02-01 09:56:00+05:30,17750.0,CE,345.55,436.7,9114.999999999998
2023-02-01 10:39:00+05:30,2023-02-01 11:09:00+05:30,17800.0,CE,436.7,315.9,-12080.000000000002
2023-02-01 12:47:00+05:30,2023-02-01 12:48:00+05:30,17950.0,CE,347.3,513.2,16590.000000000004
2023-02-01 13:02:00+05:30,2023-02-01 13:15:00+05:30,17950.0,CE,347.3,513.2,16590.000000000004
2023-02-01 13:50:00+05:30,2023-02-01 13:57:00+05:30,17750.0,PE,191.0,145.0,4600.0
2023-02-03 14:45:00+05:30,2023-02-03 14:51:00+05:30,17850.0,CE,495.1,610.25,11514.999999999998
2023-02-03 15:05:00+05:30,2023-02-03 15:15:00+05:30,17850.0,CE,495.1,495.1,0.0
2023-02-03 15:16:00+05:30,2023-02-03 15:17:00+05:30,17850.0,CE,495.1,495.1,0.0
2023-02-08 09:44:00+05:30,2023-02-08 09:57:00+05:30,17850.0,CE,495.1,610.25,11514.999999999998
2023-02-08 10:29:00+05:30,2023-02-08 10:45:00+05:30,17850.0,CE,495.1,610.25,11514.999999999998
2023-02-09 11:39:00+05:30,2023-02-09 11:43:00+05:30,17850.0,CE,495.1,399.45,-9565.000000000004
2023-02-09 14:05:00+05:30,2023-02-09 15:15:00+05:30,17900.0,CE,399.45,399.45,0.0
2023-02-10 09:49:00+05:30,2023-02-10 09:58:00+05:30,17800.0,PE,240.0,205.6,3440.0000000000005
2023-02-13 12:31:00+05:30,2023-02-13 13:23:00+05:30,17750.0,PE,180.7,240.0,-5930.000000000001
2023-02-14 10:19:00+05:30,2023-02-14 11:56:00+05:30,17850.0,CE,483.0,431.4,-5160.000000000002
2023-02-14 12:01:00+05:30,2023-02-14 12:07:00+05:30,17900.0,CE,431.4,483.0,5160.000000000002
2023-02-14 13:18:00+05:30,2023-02-14 13:56:00+05:30,17900.0,CE,431.4,494.15,6275.0
2023-02-15 10:28:00+05:30,2023-02-15 10:32:00+05:30,17950.0,CE,494.15,431.4,-6275.0
2023-02-15 15:20:00+05:30,2023-02-15 15:21:00+05:30,18000.0,CE,320.8,320.8,0.0
2023-02-15 15:22:00+05:30,2023-02-15 15:23:00+05:30,18000.0,CE,320.8,320.8,0.0
2023-02-15 15:24:00+05:30,2023-02-15 15:25:00+05:30,18050.0,CE,298.55,298.55,0.0
